state,crop_type,crop_yield,land_area,irrigation_type,fertilizer_type,pesticide_type,harvest_date,average_temperature,soil_type
Manipur,Spices,10327.93,89728.58,Tube well,Organic,Chemical,9/15/2022,-47.6,Laterite
Himachal Pradesh,Tea,75571.18,56038.55,Rainfed,Inorganic,Chemical,6/30/2022,-12.69,Red
Haryana,Sorghum,94657.29,806806.66,Sprinkler,Organic,Organic,12/19/2022,-47.79,Desert
Madhya Pradesh,Vegetables,41871.53,938172.26,Canal,Inorganic,Organic,2/8/2022,-9.13,Desert
Arunachal Pradesh,Coffee,58571.02,179607.44,Drip,Inorganic,Organic,10/2/2022,36.8,Laterite
Telangana,Rice,90834.11,800531.83,Sprinkler,Organic,Chemical,4/29/2022,-3.19,Alluvial
Bihar,Oilseeds,70332.7,619193.72,Rainfed,Inorganic,Organic,4/30/2022,-30.94,Alluvial
Uttar Pradesh,Rice,17806.08,613525.6,Tube well,Organic,Chemical,9/22/2022,-29.31,Alluvial
Madhya Pradesh,Spices,17077.96,693529.73,Rainfed,Inorganic,Chemical,12/10/2022,-44.29,Black
Haryana,Tea,62876.48,821113.66,Canal,Inorganic,Organic,12/29/2022,-2.17,Alluvial
Gujarat,Spices,68806.74,814076.03,Sprinkler,Inorganic,Organic,4/17/2022,-26.96,Desert
Chhattisgarh,Coffee,99657.41,272496.17,Sprinkler,Inorganic,Organic,10/4/2022,38.69,Red
Sikkim,Cotton,81246.6,160692.86,Sprinkler,Organic,Chemical,3/5/2022,0.15,Red
Arunachal Pradesh,Maize,1470.38,105679.92,Drip,Inorganic,Chemical,3/7/2022,22.48,Desert
Tripura,Pulses,62473.71,594038.29,Drip,Inorganic,Organic,1/26/2022,-43.65,Alluvial
Jharkhand,Sorghum,5335.33,513391.05,Drip,Inorganic,Organic,5/31/2022,13.87,Desert
Haryana,Wheat,55171.96,849457.82,Sprinkler,Inorganic,Organic,6/3/2022,-43.97,Black
Haryana,Wheat,38340.83,820358.02,Canal,Inorganic,Chemical,12/20/2022,-38.7,Red
Punjab,Cotton,94526.84,212815.43,Canal,Inorganic,Chemical,12/14/2022,33.51,Alluvial
Tripura,Tea,9333.71,836040.84,Rainfed,Organic,Organic,1/10/2022,-4.2,Alluvial
Chhattisgarh,Cotton,51334.07,6549.1,Sprinkler,Organic,Chemical,2/9/2022,-13.62,Red
Andhra Pradesh,Coffee,97214.65,333289.64,Tube well,Organic,Organic,8/22/2022,20.77,Laterite
Uttarakhand,Fruits,52859.24,930966.73,Canal,Organic,Chemical,4/29/2022,15.28,Alluvial
Kerala,Millet,79693.05,238268.44,Tube well,Organic,Chemical,11/21/2022,-17.69,Alluvial
Karnataka,Rice,97239.98,714239.87,Drip,Inorganic,Chemical,11/24/2022,-2.34,Black
